Name,2_17_4.1,2_17_4.2,2_17_4.3,2_17_4.4,17_53_6.1,17_53_6.2,17_53_6.3,17_53_6.4,17_53_6.5,17_53_6.6,53_170_6.1,53_170_6.2,53_170_6.3,53_170_6.4,53_170_6.5,53_170_6.6
HH161,0.2,0.2,0.3,0.1,0.9,0.5,0.5,0.8,0.4,0.3,1.7,0.5,1.0,1.1,0.3,1.1
HH163,0.1,0.1,0.1,0.1,0.4,0.2,0.5,0.4,0.1,0.3,1.6,0.6,1.4,1.4,0.5,1.3
HH164,0.3,0.2,0.3,0.1,0.5,0.6,0.7,1.8,0.7,0.1,0.5,0.6,2.3,4.7,4.3,1.8
HH166,0.0,0.1,0.1,0.1,0.6,0.3,0.5,0.5,0.2,0.2,1.3,1.6,2.2,1.9,0.7,0.7
HH167,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.6,0.6,2.8,1.4,1.1,1.1,0.6,1.2
HH168,0.1,0.0,0.1,0.1,0.4,0.4,0.3,0.5,0.4,0.1,0.9,0.9,0.7,0.4,0.8,0.2
HH169,0.1,0.1,0.1,0.2,0.1,0.3,0.3,0.1,0.5,0.3,0.6,1.0,0.8,0.3,1.1,0.4
HH170,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.3,0.4,0.1,0.7,0.8,0.3,0.9,1.1,0.4
HH171,0.1,0.1,0.1,0.1,0.4,0.3,0.1,0.5,0.3,0.1,1.0,0.9,1.5,2.3,1.0,0.3
HH213,0.3,0.1,0.1,0.1,1.4,0.9,0.5,1.2,0.9,0.4,5.1,2.7,1.9,4.7,3.3,1.3
HH224,0.2,0.1,0.1,0.2,0.3,0.1,0.3,0.1,0.3,0.5,0.7,0.8,1.2,0.4,1.0,1.4
HH225,0.2,0.4,0.4,0.4,1.1,0.5,1.2,1.2,0.5,1.3,4.4,1.8,2.6,3.4,1.4,2.9
HH226,0.2,0.1,0.1,0.1,0.8,0.7,0.2,0.3,0.5,0.3,1.7,0.9,0.5,0.8,1.3,1.3
HH227,0.5,0.2,0.2,0.2,0.8,1.1,0.6,1.4,1.2,0.4,1.2,1.5,0.7,0.8,2.1,1.4
HH228,0.2,0.1,0.1,0.1,0.7,0.3,0.3,0.4,0.1,0.4,0.8,0.2,1.7,2.7,0.3,1.4
HH229,0.1,0.2,0.1,0.7,0.3,0.5,0.7,0.5,0.9,1.1,1.7,2.2,1.1,3.0,3.8,1.4
HH230,0.5,0.5,0.4,0.3,0.8,0.9,1.8,1.4,0.2,0.2,2.7,1.7,3.7,3.8,2.0,1.3
HH231,0.3,0.1,0.1,0.3,1.3,0.8,0.2,0.5,0.9,1.4,3.7,1.8,2.2,1.0,3.2,6.3
HH234,0.1,0.0,0.1,0.1,0.2,0.2,0.1,0.3,0.2,0.2,0.8,0.7,0.7,0.9,0.4,0.8
HH235,0.2,0.1,0.1,0.2,0.6,0.2,0.5,0.7,0.3,0.6,0.4,0.3,1.5,3.0,1.4,1.2
